"";"LocationID";"SessionID";"GroupID";"RecordID";"Language";"Lockdown";"start_time";"end_time";"latitude";"longitude";"Traffic";"Other";"Human";"Natural";"ISOPleasant";"ISOEventful";"pleasant";"chaotic";"vibrant";"uneventful";"calm";"annoying";"eventful";"monotonous";"Overall";"Appropriate";"loud";"sss04";"sss05";"who01";"who02";"who03";"who04";"who05";"WHO_Sum";"Age";"Gender";"occ00___Employed";"occ00___Unemployed";"occ00___Retired";"occ00___Student";"occ00___Other";"occ00___RatherNotSay";"occ00_other";"Occupation";"edu00";"eth00";"eth00_other";"misc00";"misc03";"misc03_other";"misc04";"misc01";"use00";"uni00";"res00___1";"res00___2";"res00___3";"res00___4";"res00___5";"res02";"paper";"RecordingLength";"Loudness_N5(soneGF)";"N10_N90(soneGF)";"Sharpness_S(acum)";"Rough_HM_R(asper)";"Rough_HM_Avg,arith(asper)";"FS_Avg,arith(vacil)";"I_HM_Avg,arith(iu)";"Ton_HM_Avg,arith(tuHMS)";"LZeq_L(dB(SPL))";"LAeq_L(A)(dB(SPL))";"LA10_LA90(dB(SPL))";"LCeq_LAeq(dB(SPL))";"LC10_LC90(dB(SPL))";"RA_2D_cp(cPa)";"PA(Zwicker)"
"1";"CamdenTown";"CamdenTown1";"CT101";525;"English";0;"02.05.2019 11:40";"02.05.2019 11:43";51539124;-142624;4;3;3;2;"-0,2197";"0,4268";2;4;3;2;1;2;4;3;2;3;4;1;2;1;1;3;0;3;32;23;"Male";1;0;0;0;0;0;NA;"Employed";2;1;NA;NA;NA;NA;NA;NA;1;3;1;1;0;0;0;NA;0;3157;311;"11,6";214;"0,0374";"0,0374";"0,017";"0,358";"0,309";7972;7007;"7,78";"7,81";"8,11";143;3601918067
"2";"CamdenTown";"CamdenTown1";"CT101";561;"English";0;"02.05.2019 11:40";"02.05.2019 11:43";51539124;-142624;4;3;4;2;"-0,4697";"0,1768";3;4;2;1;1;4;2;4;3;2;4;1;3;4;4;3;4;4;76;24;"Female";1;0;0;0;0;0;NA;"Employed";2;1;NA;NA;2;NA;NA;NA;1;3;1;1;0;0;0;NA;1;3157;311;"11,6";214;"0,0374";"0,0374";"0,017";"0,358";"0,309";7972;7007;"7,78";"7,81";"8,11";143;3601918067
"3";"CamdenTown";"CamdenTown1";"CT101";526;"English";0;"02.05.2019 11:41";"02.05.2019 11:44";51539124;-142624;3;1;2;1;"0";"0,25";4;3;3;2;2;4;3;2;3;4;2;1;3;3;3;4;4;3;68;22;"Male";1;0;0;0;0;0;NA;"Employed";2;1;NA;NA;NA;NA;NA;NA;1;3;1;1;0;0;0;NA;0;3157;311;"11,6";214;"0,0374";"0,0374";"0,017";"0,358";"0,309";7972;7007;"7,78";"7,81";"8,11";143;3601918067
"4";"CamdenTown";"CamdenTown1";"CT102";560;"English";0;"02.05.2019 11:50";"02.05.2019 11:53";51539124;-142624;3;2;4;1;"0,1036";"-0,75";4;2;2;5;5;3;2;5;2;4;3;1;2;4;3;3;4;5;76;28;"Male";1;0;0;0;0;0;NA;"Employed";5;1;NA;NA;2;NA;NA;NA;1;1;1;1;0;0;0;NA;1;3247;344;"12,3";218;"0,0446";"0,0446";"0,0179";"0,362";"0,268";8027;7126;"8,38";"6,25";"7,82";147;4052326798
"5";"CamdenTown";"CamdenTown1";"CT103";527;"English";0;"02.05.2019 11:49";"02.05.2019 11:54";51539124;-142624;4;2;4;1;"0,25";"0,75";3;4;5;1;2;2;4;1;3;4;3;3;3;2;2;1;0;3;32;56;"Male";1;0;0;0;0;0;NA;"Employed";NA;1;NA;NA;NA;NA;NA;NA;3;1;1;1;0;0;0;NA;0;3516;247;"4,8";2;"0,0369";"0,0369";"0,00889";"0,37";"0,193";7679;6671;"4,23";"7,61";"3,99";134;2710863473
"6";"CamdenTown";"CamdenTown1";"CT104";528;"English";0;"02.05.2019 11:52";"02.05.2019 12:03";51539124;-142624;4;3;2;1;"0,0732";"0,6768";2;4;5;1;2;2;4;2;2;3;4;2;3;4;3;2;1;4;56;18;"Male";0;1;0;0;0;0;NA;"Unemployed";1;1;NA;NA;NA;NA;NA;NA;1;1;1;1;0;0;0;"There was alarm whistle passing.";0;3196;386;"12,1";237;"0,0413";"0,0413";"0,0146";"0,393";"0,21";8013;7247;"6,97";"6,32";"3,79";151;487088246
"7";"CamdenTown";"CamdenTown1";"CT105";555;"English";0;"02.05.2019 11:56";"02.05.2019 12:09";51539124;-142624;4;2;4;1;"0,3661";"-0,5303";3;1;3;5;5;3;2;2;3;2;4;3;3;1;2;2;2;1;32;27;"Female";0;1;0;0;0;0;NA;"Unemployed";5;1;NA;NA;1;NA;NA;NA;2;2;1;1;0;0;0;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"8";"CamdenTown";"CamdenTown1";"CT105";529;"English";0;"02.05.2019 11:56";"02.05.2019 12:09";51539124;-142624;4;3;4;2;"-0,0429";"0,5";4;5;4;2;2;3;4;3;4;3;3;2;3;4;4;4;2;4;72;24;"Female";0;1;0;0;0;0;NA;"Unemployed";5;2;NA;NA;NA;NA;NA;NA;1;2;1;1;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"9";"CamdenTown";"CamdenTown1";"CT106";530;"English";0;"02.05.2019 12:07";"02.05.2019 12:12";51539124;-142624;4;2;2;1;"-0,2071";"0,0858";2;4;4;4;2;4;2;2;3;2;4;4;3;4;3;4;4;4;76;30;"Male";0;0;0;0;0;1;NA;"RatherNotSay";1;1;NA;NA;NA;NA;NA;NA;4;1;1;0;0;0;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"10";"CamdenTown";"CamdenTown1";"CT107";559;"English";0;"02.05.2019 12:20";"02.05.2019 12:25";51539124;-142624;4;3;3;2;"0,0732";"0,3661";4;4;4;3;2;4;3;1;4;4;3;4;4;3;4;2;2;3;56;64;"Male";0;0;1;0;0;0;NA;"Retired";4;1;NA;NA;1;NA;NA;NA;1;1;1;1;0;0;0;NA;1;3132;294;"11,3";205;"0,0379";"0,0379";"0,0247";"0,426";"0,293";7852;6832;"8,55";"8";"5,6";148;3295937593
"11";"CamdenTown";"CamdenTown1";"CT108";531;"English";0;"02.05.2019 12:10";"02.05.2019 12:26";51539124;-142624;3;2;2;1;"-0,1464";"0,1464";3;3;3;3;1;3;3;3;3;3;3;1;2;4;2;4;3;4;68;63;"Female";1;0;0;0;0;0;NA;"Employed";5;1;NA;NA;NA;NA;NA;NA;3;1;1;1;0;0;0;NA;0;2726;343;"14,9";225;"0,041";"0,041";"0,0157";"0,374";"0,196";797;7095;"9,19";"6,76";"8,86";148;4138124879
"12";"CamdenTown";"CamdenTown1";"CT109";557;"English";0;"02.05.2019 12:16";"02.05.2019 12:28";51539124;-142624;3;1;3;1;"-0,1161";"0,3232";4;5;3;3;2;3;4;3;2;3;4;3;4;4;4;3;2;3;64;19;"Female";0;0;0;1;0;0;NA;"Student";3;3;NA;NA;1;NA;NA;NA;4;3;1;1;0;0;0;NA;1;3153;30;"8,9";211;"0,0411";"0,0411";"0,0274";"0,407";"0,297";801;6975;"6,64";"6,99";"5,42";152;3436665007
